"ASSET","BKCLASS","DEP","DEPDOM","EQ","MUTUAL","NETINC","ROA","ROAPTX","ROAPTXQ","ROAQ","ROE","STNAME","TRUST"
150326,"NM",129903,129903,11750,0,78,0.211145362077075,0.2815271494361,0.28,0.21,2.69,"Florida",0
191507,"N",165073,165073,20808,0,910,0.910531143166849,1.36579671475027,1.46,0.97,8.79,"Minnesota",1
115935,"NM",97972,97972,17299,0,400,1.41231717112871,1.69478060535445,1.69,1.41,9.3,"Kansas",0
1063200,"NM",938026,938026,112490,0,3380,1.27674181532477,1.58648391253374,1.59,1.28,12.2,"Texas",0
1385405,"NM",1198868,1198868,164974,0,5029,1.4530555990965,1.71396417057873,1.71,1.45,12.17,"Missouri",0
1095108,"NM",984020,984020,88499,0,-14,-0.00516035099601685,-0.0785110544393993,-0.08,-0.01,-0.06,"Nebraska",1
435713,"NM",369039,369039,43967,0,-1868,-0.865663111227823,-1.55615456504445,-4.03,-2.39,-8.33,"Georgia",0
61232,"SL",50037,50037,7067,0,332,0.72371918121771,1.01364282911517,1.4,0.52,6.14,"New Mexico",0
51732,"NM",47360,47360,4285,0,76,0.584261457002008,0.584261457002008,0.58,0.58,6.59,"Montana",0
50137,"NM",42895,42895,4991,0,-758,-1.35671124602652,-1.35671124602652,-1.14,-1.14,-14.17,"Kentucky",0
953246,"SM",765188,765188,95823,0,3096,1.29288879840894,1.29288879840894,1.29,1.29,12.96,"Kentucky",1
44718,"NM",20745,20745,19747,0,-1349,-13.3610657158421,-13.3610657158421,-13.36,-13.36,-26.42,"California",0
100945,"N",84801,84801,15494,0,203,0.26540163020163,0.286319985291414,0.02,0,1.81,"Kentucky",0
707092,"SM",622838,622838,36578,0,1420,0.803901754147595,0.776161482349544,0.78,0.8,15.89,"Kansas",1
26368,"NM",25715,25715,-31,0,-1356,-9.63684173122024,-5.35853883874636,-6.11,-14.92,-268.78,"Connecticut",0
39319,"SM",35357,35357,3105,0,33,0.322983190193056,0.342557928992635,0.34,0.32,4.12,"Kansas",0
1717267,"NM",1418223,1418223,156558,0,2081,0.48017947313513,0.634778342428996,0.63,0.48,5.34,"Georgia",0
262891,"NM",212286,212286,35084,0,829,1.25665085115736,1.89786111658506,1.9,1.26,9.58,"Missouri",0
75981,"SI",68248,68248,7534,0,239,1.28853994676012,1.64976244229538,1.65,1.29,12.89,"Texas",0
120044,"NM",103258,103258,9131,0,234,0.791583505294137,0.818646189235817,0.82,0.79,10.3,"Iowa",1
517072,"NM",417224,417224,53444,0,5375,1.04711735896547,1.38511710181293,1.43,1.05,10.62,"Indiana",1
420463,"SM",370554,370554,40446,0,1073,1.02006863835572,1.02006863835572,1.02,1.02,10.77,"Oklahoma",0
887942,"N",347029,347029,153200,0,2032,0.841413964697467,1.10476991034097,1.1,0.84,5.32,"Louisiana",0
657267,"NM",589968,589968,55554,0,2174,1.35726655007535,1.82862636852378,1.83,1.36,15.88,"Tennessee",0
230454,"NM",188398,188398,37727,0,509,0.895618244922557,0.895618244922557,0.9,0.9,5.44,"Texas",0
447362,"NM",393332,393332,36728,0,968,0.860705525120398,0.860705525120398,0.86,0.86,10.53,"Indiana",1
435844,"NM",376720,376720,45677,0,2057,1.87935835033085,2.37363781923167,2.37,1.88,18.16,"Kansas",1
197646,"N",166364,166364,22584,0,617,1.28993479766369,1.28993479766369,1.29,1.29,10.84,"Texas",0
237132,"NM",173636,173636,21261,0,184,0.314247897186286,0.355236753341019,0.36,0.31,3.47,"Tennessee",1
80249,"NM",70677,70677,9210,0,376,1.84273077017325,1.99465804111838,1.99,1.84,15.3,"Minnesota",0
282770,"N",259444,259444,22937,0,1911,2.72843602149482,2.72843602149482,2.73,2.73,32.41,"Georgia",0
186278,"NM",170164,170164,15389,0,807,1.77157251757578,1.77157251757578,1.77,1.77,21.58,"Texas",1
189807,"SM",153334,153334,14726,0,225,0.467259393860731,0.566941397884353,0.57,0.47,6.02,"Kansas",1
982190,"N",883609,883609,90214,0,2409,0.993164009657479,1.39183133939545,1.39,0.99,10.65,"Illinois",1
124024,"SM",111273,111273,12724,0,152,0.500074024115412,0.427694889046076,0.43,0.5,4.82,"Missouri",0
19791000,"N",17511000,17511000,1958000,0,47000,0.935704787528568,1.49314593754559,1.49,0.94,9.72,"Rhode Island",0
114761,"NM",104636,104636,9734,0,381,1.32039507884249,1.4659504418645,1.47,1.32,15.58,"Alabama",0
325345,"N",266700,266700,34530,0,2244,0.959180956960808,1.51998550933718,2.04,1.27,8.97,"South Carolina",0
